head_tail_[W],head_tail_[Tr],head_tail_[Ta],head_tail_[R],total_clusters,num_[W],max_[W],min_[W],mean_[W],num_[Tr],max_[Tr],min_[Tr],mean_[Tr],num_[Ta],max_[Ta],min_[Ta],mean_[Ta],num_[R],max_[R],min_[R],mean_[R],[W],[Tr],[Ta],[R],rel_shannon,length,total_solvent,total_surface
1,0,0,1,4,0.25,2,2,2.0,0.25,2,2,2.0,0.25,3,3,3.0,0.25,2,2,2.0,0.25,0.25,0.25,0.25,0.5,16,480,400
0,1,0,1,5,0.4,2,2,2.0,0.2,3,3,3.0,0.2,3,3,3.0,0.2,2,2,2.0,0.25,0.25,0.25,0.25,0.5,16,480,400
0,0,1,1,1,0.0,0,0,0.0,1.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.25,0.25,0.25,0.25,0.5,16,480,400
1,0,0,1,2,0.0,0,0,0.0,0.5,3,3,3.0,0.0,0,0,0.0,0.5,2,2,2.0,0.25,0.25,0.25,0.25,0.5,16,480,400
0,1,0,1,3,0.0,0,0,0.0,0.3333333333333333,2,2,2.0,0.3333333333333333,2,2,2.0,0.3333333333333333,2,2,2.0,0.25,0.25,0.25,0.25,0.5,16,480,400
1,0,0,1,2,0.5,2,2,2.0,0.5,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4736146334811361,18,540,460
1,0,0,1,2,0.5,2,2,2.0,0.0,0,0,0.0,0.5,2,2,2.0,0.0,0,0,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4736146334811361,18,540,460
0,1,0,1,2,0.5,2,2,2.0,0.5,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4736146334811361,18,540,460
0,0,0,2,3,0.6666666666666666,3,2,2.5,0.3333333333333333,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4736146334811361,18,540,460
1,1,0,0,5,0.4,2,2,2.0,0.2,2,2,2.0,0.2,2,2,2.0,0.2,3,3,3.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4736146334811361,18,540,460
0,0,1,1,4,0.25,3,3,3.0,0.25,2,2,2.0,0.25,2,2,2.0,0.25,2,2,2.0,0.4,0.2,0.2,0.2,0.44469228841657793,20,600,520
1,0,1,0,5,0.6,2,2,2.0,0.0,0,0,0.0,0.2,2,2,2.0,0.2,2,2,2.0,0.4,0.2,0.2,0.2,0.44469228841657793,20,600,520
2,0,0,0,5,0.4,3,3,3.0,0.2,2,2,2.0,0.2,2,2,2.0,0.2,2,2,2.0,0.4,0.2,0.2,0.2,0.44469228841657793,20,600,520
0,0,2,0,5,0.6,4,2,2.6666666666666665,0.2,3,3,3.0,0.0,0,0,0.0,0.2,2,2,2.0,0.4,0.2,0.2,0.2,0.44469228841657793,20,600,520
0,0,0,2,1,1.0,3,3,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.4,0.2,0.2,0.2,0.44469228841657793,20,600,520
2,0,0,0,1,1.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4167695282293055,22,660,580
1,0,0,1,3,0.6666666666666666,3,3,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,3,3,3.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4167695282293055,22,660,580
0,0,1,1,5,0.8,3,2,2.25,0.0,0,0,0.0,0.2,2,2,2.0,0.0,0,0,0.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4167695282293055,22,660,580
1,0,0,1,4,0.5,3,2,2.5,0.5,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4167695282293055,22,660,580
0,1,1,0,3,1.0,3,2,2.3333333333333335,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4167695282293055,22,660,580
1,0,1,0,3,1.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,640
1,1,0,0,4,1.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,640
1,0,1,0,5,1.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,640
1,0,0,1,4,0.75,3,2,2.3333333333333335,0.0,0,0,0.0,0.0,0,0,0.0,0.25,2,2,2.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,640
1,0,0,1,4,0.75,6,2,3.3333333333333335,0.25,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3909478540072341,24,720,640
0,0,1,1,4,0.0,0,0,0.0,0.25,2,2,2.0,0.5,2,2,2.0,0.25,2,2,2.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4736146334811361,18,530,440
1,0,1,0,3,0.0,0,0,0.0,0.0,0,0,0.0,0.6666666666666666,2,2,2.0,0.3333333333333333,2,2,2.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4736146334811361,18,530,440
0,0,1,1,2,0.0,0,0,0.0,0.0,0,0,0.0,0.5,2,2,2.0,0.5,2,2,2.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4736146334811361,18,530,440
0,1,1,0,5,0.2,3,3,3.0,0.2,3,3,3.0,0.4,3,2,2.5,0.2,2,2,2.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4736146334811361,18,530,440
1,0,1,0,2,0.0,0,0,0.0,0.5,2,2,2.0,0.5,2,2,2.0,0.0,0,0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4736146334811361,18,530,440
0,0,0,2,5,0.4,2,2,2.0,0.2,3,3,3.0,0.2,4,4,4.0,0.2,2,2,2.0,0.3,0.2,0.3,0.2,0.45603502677108637,20,590,500
2,0,0,0,7,0.2857142857142857,2,2,2.0,0.14285714285714285,3,3,3.0,0.42857142857142855,2,2,2.0,0.14285714285714285,4,4,4.0,0.3,0.2,0.3,0.2,0.45603502677108637,20,590,500
0,0,1,1,3,0.3333333333333333,2,2,2.0,0.0,0,0,0.0,0.3333333333333333,2,2,2.0,0.3333333333333333,2,2,2.0,0.3,0.2,0.3,0.2,0.45603502677108637,20,590,500
0,1,0,1,3,0.6666666666666666,2,2,2.0,0.0,0,0,0.0,0.3333333333333333,2,2,2.0,0.0,0,0,0.0,0.3,0.2,0.3,0.2,0.45603502677108637,20,590,500
1,0,0,1,2,0.5,2,2,2.0,0.0,0,0,0.0,0.5,2,2,2.0,0.0,0,0,0.0,0.3,0.2,0.3,0.2,0.45603502677108637,20,590,500
1,0,1,0,4,0.5,3,2,2.5,0.25,2,2,2.0,0.25,3,3,3.0,0.0,0,0,0.0,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.43419435325329764,22,650,560
0,0,1,1,3,0.3333333333333333,3,3,3.0,0.3333333333333333,2,2,2.0,0.3333333333333333,3,3,3.0,0.0,0,0,0.0,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.43419435325329764,22,650,560
1,0,1,0,4,0.5,2,2,2.0,0.0,0,0,0.0,0.25,2,2,2.0,0.25,2,2,2.0,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.43419435325329764,22,650,560
1,0,0,1,2,0.5,4,4,4.0,0.0,0,0,0.0,0.5,3,3,3.0,0.0,0,0,0.0,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.43419435325329764,22,650,560
2,0,0,0,7,0.2857142857142857,3,2,2.5,0.2857142857142857,2,2,2.0,0.2857142857142857,3,2,2.5,0.14285714285714285,3,3,3.0,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.43419435325329764,22,650,560
2,0,0,0,6,0.6666666666666666,2,2,2.0,0.0,0,0,0.0,0.16666666666666666,2,2,2.0,0.16666666666666666,2,2,2.0,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.4117631283514722,24,710,620
2,0,0,0,5,0.4,3,2,2.5,0.4,2,2,2.0,0.2,4,4,4.0,0.0,0,0,0.0,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.4117631283514722,24,710,620
1,1,0,0,6,0.3333333333333333,5,2,3.5,0.16666666666666666,2,2,2.0,0.3333333333333333,2,2,2.0,0.16666666666666666,2,2,2.0,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.4117631283514722,24,710,620
0,1,0,1,5,0.4,4,2,3.0,0.2,2,2,2.0,0.2,2,2,2.0,0.2,2,2,2.0,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.4117631283514722,24,710,620
0,0,1,1,3,0.6666666666666666,3,2,2.5,0.0,0,0,0.0,0.3333333333333333,3,3,3.0,0.0,0,0,0.0,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.4117631283514722,24,710,620
